"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"129","35240242","DA","Oakville",0.19969,609,137,136,"3524001","3524","5350608.00","35535",609,20,0,470,245
"130","35240243","DA","Oakville",0.17252,507,173,165,"3524001","3524","5350608.00","35535",507,155,0,565,125
"131","35240244","DA","Oakville",0.34099,768,267,262,"3524001","3524","5350611.00","35535",768,245,0,765,140
"132","35240245","DA","Oakville",0.19771,495,176,174,"3524001","3524","5350611.00","35535",495,170,0,585,115
"133","35240246","DA","Oakville",0.21742,475,160,156,"3524001","3524","5350611.00","35535",475,155,0,495,75
"134","35240247","DA","Oakville",0.09647,328,122,121,"3524001","3524","5350611.00","35535",328,120,0,300,35
"135","35240248","DA","Oakville",0.26463,541,179,178,"3524001","3524","5350611.00","35535",541,170,0,540,60
"136","35240249","DA","Oakville",0.18369,464,158,158,"3524001","3524","5350611.00","35535",464,160,0,455,20
"137","35240250","DA","Oakville",0.17152,444,159,149,"3524001","3524","5350610.03","35535",444,140,0,395,65
"138","35240251","DA","Oakville",0.31058,851,474,463,"3524001","3524","5350610.03","35535",851,130,270,925,65
"139","35240252","DA","Oakville",0.23578,539,314,256,"3524001","3524","5350610.03","35535",539,90,45,565,90
"140","35240253","DA","Oakville",0.07696,884,527,495,"3524001","3524","5350610.03","35535",884,10,340,905,170
"141","35240254","DA","Oakville",0.17584,413,201,190,"3524001","3524","5350610.03","35535",413,45,0,410,55
"142","35240255","DA","Oakville",0.08057,1050,607,598,"3524001","3524","5350610.04","35535",1050,0,515,810,35
"143","35240256","DA","Oakville",0.31205,541,180,179,"3524001","3524","5350610.04","35535",541,175,0,595,55
"144","35240257","DA","Oakville",0.09908,512,213,211,"3524001","3524","5350610.04","35535",512,35,0,435,50
"145","35240258","DA","Oakville",0.05967,137,64,61,"3524001","3524","5350610.04","35535",137,10,0,190,30
"146","35240259","DA","Oakville",0.23592,1402,945,899,"3524001","3524","5350610.03","35535",1402,5,705,1360,90
"147","35240260","DA","Oakville",0.45399,815,397,349,"3524001","3524","5350610.02","35535",815,185,165,680,150
"148","35240261","DA","Oakville",0.12252,310,122,120,"3524001","3524","5350610.02","35535",310,80,0,325,75
"149","35240262","DA","Oakville",0.10266,359,131,130,"3524001","3524","5350610.02","35535",359,130,0,350,35
"150","35240263","DA","Oakville",0.11641,386,132,131,"3524001","3524","5350610.02","35535",386,135,0,380,55
"151","35240265","DA","Oakville",0.11066,396,132,130,"3524001","3524","5350610.02","35535",396,125,0,385,50
"152","35240266","DA","Oakville",0.29846,478,166,162,"3524001","3524","5350610.02","35535",478,160,0,520,100
"153","35240267","DA","Oakville",8.08113,68,20,19,"3524001","3524","5350612.01","35535",68,20,0,NA,NA
"154","35240268","DA","Oakville",0.93654,795,276,272,"3524001","3524","5350611.00","35535",795,255,0,755,75
"155","35240269","DA","Oakville",2.62015,875,308,307,"3524001","3524","5350611.00","35535",875,300,0,840,100
"156","35240270","DA","Oakville",0.52438,555,223,204,"3524001","3524","5350608.00","35535",555,180,0,545,90
"157","35240271","DA","Oakville",0.08887,251,91,90,"3524001","3524","5350611.00","35535",251,90,0,270,35
"158","35240272","DA","Oakville",2.96302,1375,544,498,"3524001","3524","5350612.03","35535",1375,215,0,1360,345
"159","35240273","DA","Oakville",0.05891,287,80,80,"3524001","3524","5350612.03","35535",287,80,0,275,70
"160","35240274","DA","Oakville",0.13869,514,167,162,"3524001","3524","5350612.03","35535",514,90,0,510,210
"161","35240275","DA","Oakville",0.15702,572,164,162,"3524001","3524","5350612.03","35535",572,145,0,610,305
"162","35240276","DA","Oakville",0.21165,497,145,145,"3524001","3524","5350612.03","35535",497,125,0,485,120
"163","35240277","DA","Oakville",0.11527,664,252,250,"3524001","3524","5350612.03","35535",664,45,145,605,305
"164","35240278","DA","Oakville",0.06256,276,80,80,"3524001","3524","5350612.03","35535",276,70,0,265,90
"165","35240279","DA","Oakville",0.14096,517,155,155,"3524001","3524","5350612.03","35535",517,120,0,555,115
"166","35240280","DA","Oakville",0.0983,585,188,188,"3524001","3524","5350612.03","35535",585,105,0,590,205
"167","35240281","DA","Oakville",0.13607,594,173,168,"3524001","3524","5350612.03","35535",594,150,0,635,210
"168","35240282","DA","Oakville",0.08709,368,104,104,"3524001","3524","5350612.03","35535",368,90,0,360,110
"169","35240284","DA","Oakville",0.50289,1221,526,520,"3524001","3524","5350612.14","35535",1221,115,0,1140,270
"170","35240285","DA","Oakville",0.29961,604,176,175,"3524001","3524","5350612.14","35535",604,140,0,625,155
"171","35240286","DA","Oakville",0.44021,827,248,247,"3524001","3524","5350612.13","35535",827,245,0,800,100
"172","35240287","DA","Oakville",0.15783,629,188,187,"3524001","3524","5350612.13","35535",629,190,0,640,160
"173","35240288","DA","Oakville",0.09516,386,118,115,"3524001","3524","5350612.13","35535",386,115,0,385,65
"174","35240289","DA","Oakville",0.26696,917,467,457,"3524001","3524","5350612.13","35535",917,75,0,975,205
"175","35240290","DA","Oakville",0.12356,559,255,253,"3524001","3524","5350612.13","35535",559,80,145,575,90
"176","35240291","DA","Oakville",0.23529,552,177,177,"3524001","3524","5350612.05","35535",552,120,0,570,35
"177","35240292","DA","Oakville",0.27462,998,308,305,"3524001","3524","5350612.05","35535",998,195,50,825,200
"178","35240293","DA","Oakville",1.34061,762,285,283,"3524001","3524","5350612.05","35535",762,135,0,840,150
"179","35240297","DA","Oakville",0.0868,405,147,146,"3524001","3524","5350612.05","35535",405,60,0,420,75
"180","35240298","DA","Oakville",0.34666,687,215,214,"3524001","3524","5350612.05","35535",687,215,0,705,70
"181","35240299","DA","Oakville",0.22534,617,195,194,"3524001","3524","5350612.05","35535",617,195,0,565,60
"182","35240301","DA","Oakville",0.99054,1076,359,356,"3524001","3524","5350612.14","35535",1076,205,0,1045,290
"183","35240302","DA","Oakville",0.1603,639,188,187,"3524001","3524","5350612.14","35535",639,185,0,595,175
"184","35240303","DA","Oakville",0.09167,406,126,124,"3524001","3524","5350612.14","35535",406,80,0,475,130
"185","35240304","DA","Oakville",0.12965,493,153,151,"3524001","3524","5350612.13","35535",493,150,0,520,125
"186","35240305","DA","Oakville",0.07365,315,99,99,"3524001","3524","5350612.14","35535",315,100,0,305,45
"187","35240307","DA","Oakville",0.10416,974,423,395,"3524001","3524","5350612.05","35535",974,0,300,915,510
"188","35240510","DA","Oakville",0.16033,546,190,189,"3524001","3524","5350610.02","35535",546,185,0,535,90
"189","35240577","DA","Oakville",0.67785,569,199,182,"3524001","3524","5350609.00","35535",569,175,0,560,145
"190","35240578","DA","Oakville",0.39603,540,188,185,"3524001","3524","5350609.00","35535",540,180,0,515,110
"191","35240579","DA","Oakville",0.43389,492,195,188,"3524001","3524","5350609.00","35535",492,130,0,465,95
"192","35240580","DA","Oakville",0.32645,580,199,192,"3524001","3524","5350609.00","35535",580,190,0,605,55
"193","35240581","DA","Oakville",0.31603,621,189,186,"3524001","3524","5350609.00","35535",621,185,0,665,65
"194","35240582","DA","Oakville",0.22156,492,193,189,"3524001","3524","5350610.04","35535",492,185,0,465,35
"195","35240583","DA","Oakville",0.21593,512,177,174,"3524001","3524","5350610.04","35535",512,170,0,520,85
"196","35240584","DA","Oakville",0.36802,620,267,243,"3524001","3524","5350605.00","35535",620,150,0,625,105
"197","35240585","DA","Oakville",0.81451,872,301,281,"3524001","3524","5350605.00","35535",872,160,60,745,85
"198","35240586","DA","Oakville",0.20361,510,239,211,"3524001","3524","5350605.00","35535",510,55,0,505,60
"199","35240587","DA","Oakville",0.14391,530,308,277,"3524001","3524","5350605.00","35535",530,65,75,505,40
