"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_674: Under $10,000 (including loss)","v_CA21_677: $10,000 to $19,999","v_CA21_680: $20,000 to $29,999","v_CA21_683: $30,000 to $39,999","v_CA21_686: $40,000 to $49,999","v_CA21_689: $50,000 to $59,999","v_CA21_692: $60,000 to $69,999","v_CA21_695: $70,000 to $79,999","v_CA21_698: $80,000 to $89,999","v_CA21_701: $90,000 to $99,999","v_CA21_707: $100,000 to $149,999","v_CA21_710: $150,000 and over","v_CA21_915: Average total income of household in 2020 ($)","v_CA21_916: Average after-tax income of household in 2020 ($)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4878: South Asian","v_CA21_4881: Chinese","v_CA21_4884: Black","v_CA21_4887: Filipino","v_CA21_4890: Arab","v_CA21_4893: Latin American","v_CA21_4896: Southeast Asian","v_CA21_4899: West Asian","v_CA21_4902: Korean","v_CA21_4905: Japanese","v_CA21_4908: Visible minority, n.i.e.","v_CA21_4911: Multiple visible minorities","v_CA21_4914: Not a visible minority","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5898: Bachelor's degree","v_CA21_5901: University certificate or diploma above bachelor level"
"214","35240616","DA","35240616",0.2355,565,183,183,"3524001","3524","5350600.02","35535",49600,55,45,45,35,45,30,25,30,25,20,50,45,196000,151000,355,275,0,75,120,20,25,0,0,0,0,0,0,0,25,355,0,40,130,0
"215","35240619","DA","35240619",1.2597,1269,411,404,"3524001","3524","5350612.11","35535",56000,130,100,115,65,55,55,50,45,40,25,140,180,276000,199000,740,540,40,295,135,0,0,70,0,0,0,20,20,0,0,765,0,55,355,25
"216","35240620","DA","35240620",0.1717,381,117,116,"3524001","3524","5350612.11","35535",52800,45,30,25,20,15,20,15,20,15,10,35,40,208000,160000,240,180,0,70,115,0,0,0,0,0,0,0,0,0,0,220,15,0,90,15
"217","35240688","DA","35240688",0.1401,1190,379,368,"3524001","3524","5350612.22","35535",46800,115,80,95,70,80,35,50,35,35,35,130,50,139500,114000,490,650,35,295,70,55,30,145,45,0,20,45,0,0,25,425,10,60,275,30
"218","35240689","DA","35240689",0.0943,779,230,229,"3524001","3524","5350612.23","35535",50000,65,60,50,45,50,35,35,40,20,25,85,35,152000,122000,320,415,45,115,45,20,20,65,30,0,0,25,0,0,25,390,20,85,140,15
"219","35240691","DA","35240691",0.2696,1138,389,374,"3524001","3524","5350612.23","35535",53600,80,60,80,70,60,65,50,40,25,35,115,80,168000,131500,460,445,50,175,85,15,50,30,30,0,25,25,0,0,0,485,15,40,205,20
"220","35240695","DA","35240695",0.074,612,210,207,"3524001","3524","5350612.21","35535",51600,55,55,55,30,35,45,20,20,35,10,65,35,141000,113000,300,290,15,140,40,70,10,0,20,0,0,0,0,0,0,285,0,45,105,15
"221","35240696","DA","35240696",0.2295,775,210,209,"3524001","3524","5350612.21","35535",52800,75,60,70,45,35,25,35,20,30,25,75,85,236000,180000,525,290,0,80,25,20,0,115,10,0,0,0,0,0,20,510,0,25,160,35
"222","35240697","DA","35240697",0.2133,938,304,301,"3524001","3524","5350612.21","35535",50400,80,90,55,55,55,40,45,45,35,35,95,70,159000,124000,465,405,15,120,0,50,0,30,50,25,0,0,0,0,20,580,15,85,145,35
"223","35240698","DA","35240698",0.2319,1127,357,356,"3524001","3524","5350612.20","35535",48800,105,90,105,70,60,55,40,35,35,30,125,90,154500,123200,635,420,0,70,65,50,0,30,55,0,0,65,0,0,0,705,0,60,200,25
"224","35240699","DA","35240699",0.1922,990,294,294,"3524001","3524","5350612.18","35535",50000,110,80,70,65,50,35,40,35,35,35,100,85,206000,156000,555,400,15,80,80,30,60,0,30,0,0,0,0,0,0,650,10,60,175,20
"225","35240700","DA","35240700",0.0984,590,183,182,"3524001","3524","5350612.19","35535",46400,60,50,45,35,30,20,15,20,25,20,70,40,174000,114000,355,245,0,75,85,0,0,0,0,0,0,10,0,0,0,380,0,25,130,15
"226","35240701","DA","35240701",0.0953,563,162,160,"3524001","3524","5350612.19","35535",54800,60,50,40,30,20,20,15,20,20,20,65,70,226000,170000,370,225,0,80,65,0,0,0,0,0,0,0,0,0,0,385,0,50,150,10
"227","35240705","DA","35240705",0.1924,685,226,224,"3524001","3524","5350612.19","35535",49600,60,55,55,50,40,30,40,35,20,20,70,45,158000,123000,395,295,35,90,75,20,0,25,0,0,0,0,0,0,0,495,0,25,130,35
"228","35240706","DA","35240706",0.1277,606,205,200,"3524001","3524","5350612.19","35535",38400,70,55,70,45,35,35,25,20,15,15,50,30,143000,114000,320,265,0,40,55,25,30,40,10,20,55,0,0,0,15,295,25,30,115,10
"229","35240707","DA","35240707",0.1768,722,216,210,"3524001","3524","5350612.20","35535",44400,75,60,70,45,45,40,25,25,25,20,75,50,194000,148000,385,390,0,85,135,0,30,45,35,0,25,0,0,0,60,335,10,60,155,0
"230","35240708","DA","35240708",0.2033,760,210,209,"3524001","3524","5350612.20","35535",49600,80,85,65,35,35,20,30,35,20,25,65,100,236000,180000,550,265,0,110,40,15,0,55,0,0,0,30,0,0,20,505,0,55,135,40
"231","35240709","DA","35240709",0.1883,681,222,220,"3524001","3524","5350612.20","35535",54000,65,55,55,40,30,40,15,25,25,20,85,70,198000,152000,355,295,0,105,125,0,0,10,0,0,0,0,0,0,15,375,0,40,125,15
"232","35240710","DA","35240710",0.1798,581,189,187,"3524001","3524","5350612.20","35535",44000,65,55,60,45,25,40,25,20,25,15,50,45,170000,136000,280,285,0,100,110,0,40,0,20,0,0,0,0,0,0,265,10,40,110,20
"233","35240711","DA","35240711",0.1415,670,206,205,"3524001","3524","5350612.23","35535",53200,65,65,55,25,35,30,35,25,25,20,65,55,180000,144000,425,265,20,35,40,70,0,0,40,0,0,50,0,0,0,435,0,35,125,10
"234","35240712","DA","35240712",0.0971,511,163,160,"3524001","3524","5350612.23","35535",53600,55,30,40,35,25,25,25,20,10,25,65,40,170000,136000,270,285,0,115,25,50,0,80,15,0,0,30,0,0,0,225,20,15,95,0
"235","35240713","DA","35240713",0.4946,869,267,263,"3524001","3524","5350612.18","35535",52400,90,80,65,40,40,40,30,25,25,30,105,85,198000,146000,470,380,10,120,0,50,20,40,35,0,0,0,0,0,0,550,0,25,235,10
"236","35240714","DA","35240714",0.1028,563,176,175,"3524001","3524","5350612.18","35535",56800,55,35,30,30,20,25,15,20,20,20,70,50,168000,131000,285,240,0,35,40,0,60,0,25,0,0,0,0,0,0,285,10,60,115,10
"237","35240715","DA","35240715",0.166,898,311,304,"3524001","3524","5350612.18","35535",48400,70,70,85,55,55,50,45,45,30,45,70,35,137000,112000,475,470,20,180,60,75,35,90,15,0,10,0,0,0,20,465,0,95,200,20
"238","35240716","DA","35240716",0.2302,762,188,188,"3524001","3524","5350612.18","35535",46800,60,65,50,40,35,25,30,20,10,20,75,45,160000,121000,250,340,0,70,110,0,15,50,10,0,0,20,0,0,30,265,10,75,125,0
"239","35240760","DA","35240760",4.2032,44,20,17,"3524001","3524","5350612.10","35535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
"240","35240761","DA","35240761",0.3946,328,106,104,"3524001","3524","5350612.18","35535",55600,30,30,25,20,20,15,15,20,5,5,35,45,220000,128000,245,100,0,0,40,0,0,0,0,0,0,0,0,10,0,270,0,35,70,0
"241","35240762","DA","35240762",0.3542,524,153,153,"3524001","3524","5350612.19","35535",53200,80,35,40,35,25,15,25,15,25,15,55,80,248000,180000,340,140,10,80,80,0,10,0,0,0,0,0,0,0,0,285,0,0,180,0
"242","35240765","DA","35240765",0.0703,431,132,129,"3524001","3524","5350612.20","35535",57600,35,40,30,10,15,25,20,15,20,20,45,30,168000,140000,235,190,0,50,30,10,0,0,15,0,0,0,0,0,0,280,0,10,90,0
"243","35240766","DA","35240766",0.1502,1040,372,368,"3524001","3524","5350612.19","35535",48400,90,100,90,65,60,50,55,40,50,30,105,50,136000,108800,500,575,30,135,70,15,35,0,80,10,30,0,0,0,25,675,30,75,190,20
"244","35240767","DA","35240767",0.2171,823,250,246,"3524001","3524","5350612.11","35535",47600,70,80,75,55,30,35,45,25,25,30,85,60,162000,132000,445,360,0,95,135,50,60,0,0,0,0,0,0,0,10,420,15,85,130,10
"245","35240768","DA","35240768",0.1497,492,137,136,"3524001","3524","5350612.11","35535",52800,50,45,40,20,15,20,15,15,25,10,70,45,188000,148000,310,175,20,65,35,0,0,85,0,0,0,25,0,0,0,275,0,20,90,0
"246","35240769","DA","35240769",0.0861,454,134,132,"3524001","3524","5350612.11","35535",56400,40,45,35,25,15,20,15,15,10,20,60,40,192000,152000,280,135,0,25,35,0,0,10,0,0,0,0,0,0,0,355,0,25,85,20
"247","35240770","DA","35240770",1.0685,1162,306,302,"3524001","3524","5350612.28","35535",50400,125,110,85,70,40,30,35,35,25,25,115,165,372000,254000,620,540,20,340,150,0,25,115,0,0,0,25,0,0,70,420,0,45,240,50
