"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"85","35240198","DA","Oakville",0.13849,444,154,153,"3524001","3524","5350600.01","35535",20,30,30,30,25,10,10,25,30,35,40,35,25,35,25,20,15,5,42112,50240
"86","35240199","DA","Oakville",0.21466,519,162,161,"3524001","3524","5350600.01","35535",25,50,50,40,30,10,15,20,45,35,45,35,30,30,30,15,5,5,45056,51371
"87","35240200","DA","Oakville",0.22525,481,146,145,"3524001","3524","5350600.01","35535",15,35,50,45,35,10,5,20,35,55,45,20,25,25,35,20,5,5,50688,63616
"88","35240201","DA","Oakville",0.26003,426,132,130,"3524001","3524","5350600.01","35535",10,30,55,40,20,10,10,10,25,55,35,30,25,20,25,10,5,10,49280,56192
"89","35240202","DA","Oakville",0.5064,598,206,196,"3524001","3524","5350600.01","35535",20,25,50,50,40,30,10,10,30,60,45,55,45,25,30,40,15,10,50304,59819
"90","35240203","DA","Oakville",0.50527,527,182,167,"3524001","3524","5350602.00","35535",15,25,60,45,45,20,5,15,20,50,65,50,35,30,25,15,5,5,66987,78592
"91","35240204","DA","Oakville",0.36321,430,135,126,"3524001","3524","5350602.00","35535",10,30,45,60,30,10,5,10,25,40,60,35,20,15,5,10,10,10,55936,69376
"92","35240205","DA","Oakville",0.30789,393,132,122,"3524001","3524","5350602.00","35535",5,20,45,50,25,5,5,5,20,50,40,30,15,15,15,15,10,15,46848,55424
"93","35240206","DA","Oakville",0.40766,509,174,165,"3524001","3524","5350602.00","35535",15,25,35,45,50,10,5,10,30,35,50,50,45,30,25,15,10,15,68736,79104
"94","35240207","DA","Oakville",0.24397,544,178,171,"3524001","3524","5350602.00","35535",30,40,50,60,35,15,15,25,35,40,60,45,25,20,20,10,15,10,54144,66816
"95","35240208","DA","Oakville",0.18129,585,221,214,"3524001","3524","5350602.00","35535",35,20,30,50,50,30,20,35,35,40,65,60,45,30,20,10,10,5,48384,57728
"96","35240209","DA","Oakville",0.24986,577,212,200,"3524001","3524","5350602.00","35535",20,15,20,40,25,15,25,25,25,25,35,40,45,30,40,25,35,90,34752,38208
"97","35240210","DA","Oakville",0.90811,830,417,400,"3524001","3524","5350602.00","35535",20,15,15,35,20,60,40,25,55,60,60,50,50,45,65,60,55,95,44928,52864
"98","35240211","DA","Oakville",0.85762,503,193,184,"3524001","3524","5350602.00","35535",30,35,30,40,20,15,20,25,45,45,20,40,40,35,25,10,10,10,46592,52608
"99","35240212","DA","Oakville",0.5105,681,215,205,"3524001","3524","5350601.00","35535",15,45,75,90,60,15,5,15,55,85,65,50,25,25,25,20,5,10,50048,59264
"100","35240213","DA","Oakville",0.11676,746,374,360,"3524001","3524","5350604.00","35535",20,25,15,20,25,35,40,55,40,35,40,45,50,50,50,30,40,130,33344,37888
"101","35240214","DA","Oakville",0.40725,676,273,247,"3524001","3524","5350604.00","35535",15,30,45,60,50,20,10,15,35,50,80,65,45,40,25,25,25,25,64128,77141
"102","35240215","DA","Oakville",0.14404,420,233,206,"3524001","3524","5350604.00","35535",5,10,20,25,20,10,15,15,20,35,40,35,30,45,35,30,20,10,53056,61568
"103","35240216","DA","Oakville",0.23458,501,378,339,"3524001","3524","5350604.00","35535",5,0,5,5,20,25,20,20,20,25,30,35,35,60,45,50,60,55,38656,43904
"104","35240217","DA","Oakville",0.17484,683,308,291,"3524001","3524","5350603.00","35535",35,35,35,40,65,65,70,40,55,45,40,50,30,20,10,15,10,10,28651,31467
"105","35240218","DA","Oakville",0.15165,426,184,170,"3524001","3524","5350603.00","35535",25,25,35,15,25,30,25,15,35,30,30,25,30,25,15,15,10,10,33920,37088
