"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_379: Average age","v_CA16_4986: Average after-tax income of households in 2015 ($)","v_CA16_2398: Median after-tax income of households in 2015 ($)","v_CA16_2213: Median after-tax income in 2015 among recipients ($)"
"236","35240709","DA","Oakville",0.1883,693,222,221,"3524001","3524","5350612.20","35535",693,39.6,134638,130816,47424
"237","35240710","DA","Oakville",0.1798,617,189,188,"3524001","3524","5350612.20","35535",617,39,108579,105216,37760
"238","35240711","DA","Oakville",0.14146,679,206,205,"3524001","3524","5350612.23","35535",679,34.6,135804,105728,41856
"239","35240712","DA","Oakville",0.09707,515,162,162,"3524001","3524","5350612.23","35535",515,36.4,121213,107264,38784
"240","35240713","DA","Oakville",0.49461,880,266,265,"3524001","3524","5350612.18","35535",880,34.9,110329,115456,41600
"241","35240714","DA","Oakville",0.10278,565,176,174,"3524001","3524","5350612.18","35535",565,33.8,113586,110336,46720
"242","35240715","DA","Oakville",0.16601,933,312,312,"3524001","3524","5350612.18","35535",933,34.1,95877,87381,36779
"243","35240716","DA","Oakville",0.23021,652,186,186,"3524001","3524","5350612.18","35535",652,34.9,122289,113408,42112
"244","35240720","DA","Oakville",40.29309,6430,2103,1929,"3524001","3524","5350615.00","35535",6430,31.9,111350,98926,38280
"245","35240760","DA","Oakville",4.20322,51,17,17,"3524001","3524","5350612.10","35535",51,50.4,NA,NA,NA
"246","35240761","DA","Oakville",0.41458,334,107,106,"3524001","3524","5350612.18","35535",334,40.3,195480,144896,47360
"247","35240762","DA","Oakville",0.36633,533,154,152,"3524001","3524","5350612.19","35535",533,36.3,185320,154112,49152
"248","35240765","DA","Oakville",0.07026,420,130,130,"3524001","3524","5350612.20","35535",420,33.5,108539,108800,42880
"249","35240766","DA","Oakville",0.15015,1017,373,371,"3524001","3524","5350612.19","35535",1017,38,96326,85696,37504
"250","35240767","DA","Oakville",0.22173,879,250,249,"3524001","3524","5350612.11","35535",879,34.2,123527,111360,38272
"251","35240768","DA","Oakville",0.1517,485,138,137,"3524001","3524","5350612.11","35535",485,35,139387,141824,48000
"252","35240769","DA","Oakville",0.08615,465,135,134,"3524001","3524","5350612.11","35535",465,33.9,136967,126720,42240
"253","35240770","DA","Oakville",1.06849,1172,308,300,"3524001","3524","5350612.24","35535",1172,35.1,213861,178176,45952
"254","35240771","DA","Oakville",0.15808,739,220,213,"3524001","3524","5350612.24","35535",739,32.9,119573,112384,41088
"255","35240772","DA","Oakville",0.25871,901,226,223,"3524001","3524","5350612.24","35535",901,32.9,203554,175002,41216
"256","35240773","DA","Oakville",0.17726,977,235,232,"3524001","3524","5350612.24","35535",977,32.3,167645,170496,44672
"257","35240774","DA","Oakville",0.27617,906,277,276,"3524001","3524","5350612.24","35535",906,38.3,196231,143360,39168
"258","35240776","DA","Oakville",0.19685,1579,718,609,"3524001","3524","5350612.24","35535",1579,38.1,87783,77056,34458
"259","35240777","DA","Oakville",0.19025,787,212,210,"3524001","3524","5350612.25","35535",787,34.3,145275,144725,43776
"260","35240779","DA","Oakville",0.47064,918,252,246,"3524001","3524","5350612.25","35535",918,36.2,211725,152064,37760
"261","35240786","DA","Oakville",0.68326,1396,797,657,"3524001","3524","5350612.26","35535",1396,43.7,55442,53632,34714
"262","35240787","DA","Oakville",0.21965,579,208,185,"3524001","3524","5350612.26","35535",579,44.5,88986,82688,39808
"263","35240788","DA","Oakville",0.07341,638,231,229,"3524001","3524","5350612.26","35535",638,32.7,101868,88448,44629
"264","35240789","DA","Oakville",0.08513,937,502,484,"3524001","3524","5350612.26","35535",937,40.4,76802,62362,40640
"265","35240790","DA","Oakville",0.0752,591,229,228,"3524001","3524","5350612.26","35535",591,38,91219,93696,43264
"266","35240816","DA","Oakville",0.31188,502,204,200,"3524001","3524","5350612.08","35535",502,38.5,82168,78336,34688
"267","35240817","DA","Oakville",0.14656,672,171,164,"3524001","3524","5350612.08","35535",672,47.5,126427,97024,39808
"268","35240818","DA","Oakville",0.10411,581,152,151,"3524001","3524","5350612.08","35535",581,36.5,146109,119936,28544
"269","35240819","DA","Oakville",0.28533,931,294,292,"3524001","3524","5350612.08","35535",931,36.6,104908,101120,38528
"270","35240820","DA","Oakville",0.13447,660,215,215,"3524001","3524","5350612.08","35535",660,33.7,66195,56704,25728
"271","35240848","DA","Oakville",0.48914,2769,831,805,"3524001","3524","5350612.21","35535",2769,31,108654,98853,39040
"272","35240849","DA","Oakville",0.12091,884,241,236,"3524001","3524","5350612.22","35535",884,30.4,130916,115456,46891
"273","35240850","DA","Oakville",0.23621,1030,284,281,"3524001","3524","5350612.21","35535",1030,33.1,148202,133632,42453
"274","35240851","DA","Oakville",0.11426,632,179,178,"3524001","3524","5350612.21","35535",632,33.1,125777,115712,40832
"275","35240852","DA","Oakville",0.10536,632,198,196,"3524001","3524","5350612.23","35535",632,35.3,146509,98560,38272
"276","35240853","DA","Oakville",0.50695,859,230,229,"3524001","3524","5350612.23","35535",859,34.5,155976,144896,44672
"277","35240854","DA","Oakville",0.1285,646,167,167,"3524001","3524","5350612.22","35535",646,31.9,160109,151296,52096
"278","35240855","DA","Oakville",0.13662,988,270,267,"3524001","3524","5350612.22","35535",988,30,121545,125312,50752
"279","35240856","DA","Oakville",0.83387,3244,990,939,"3524001","3524","5350612.22","35535",3244,31.6,125481,108186,41728
"280","35240857","DA","Oakville",0.07987,542,152,152,"3524001","3524","5350612.22","35535",542,35.7,127793,118528,40405
"281","35240858","DA","Oakville",0.12755,392,106,106,"3524001","3524","5350612.23","35535",392,32.9,135494,119040,43264
"282","35240859","DA","Oakville",0.12,716,193,189,"3524001","3524","5350612.24","35535",716,31.4,134998,129280,46720
"283","35240861","DA","Oakville",0.19022,1066,291,287,"3524001","3524","5350612.25","35535",1066,33.5,138311,122624,36181
