"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5877: Postsecondary certificate or diploma below bachelor level","v_CA21_5895: Bachelor's degree or higher","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over"
"163","35240280","DA","35240280",0.0983,581,188,182,"3524001","3524","5350612.03","35535",290,30,0,30,105,175,4.4,0,0,0,0,0,5,0,0,5,0,15,10,15,15,10,95
"164","35240281","DA","35240281",0.1361,562,173,169,"3524001","3524","5350612.03","35535",300,25,15,20,70,230,2.8,0,0,0,0,0,0,0,10,0,5,5,0,10,10,5,125
"165","35240282","DA","35240282",0.0871,346,104,102,"3524001","3524","5350612.03","35535",190,15,0,35,40,95,3.2,0,0,0,0,0,0,0,0,0,0,0,5,0,10,5,70
"166","35240284","DA","35240284",0.498,1274,528,513,"3524001","3524","5350612.14","35535",655,115,40,140,140,425,7.4,5,10,0,15,10,15,20,15,25,20,55,40,35,40,40,175
"167","35240285","DA","35240285",0.3008,593,175,173,"3524001","3524","5350612.14","35535",350,25,15,35,60,250,3.4,5,0,0,0,0,0,0,0,0,0,10,0,5,5,10,130
"168","35240286","DA","35240286",0.439,780,247,240,"3524001","3524","5350612.13","35535",320,45,0,50,85,255,3.8,5,0,0,0,0,5,0,0,10,10,10,10,5,10,10,175
"169","35240287","DA","35240287",0.1578,606,188,184,"3524001","3524","5350612.13","35535",230,50,0,10,50,200,8.4,5,0,0,0,0,0,0,0,0,0,15,5,10,5,10,125
"170","35240288","DA","35240288",0.0952,363,117,115,"3524001","3524","5350612.13","35535",125,30,0,15,35,110,3.2,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,80
"171","35240289","DA","35240289",0.2719,954,465,457,"3524001","3524","5350612.13","35535",440,65,0,65,150,300,6.8,0,10,0,5,15,15,15,15,25,25,40,45,40,30,25,130
"172","35240290","DA","35240290",0.1236,572,256,254,"3524001","3524","5350612.13","35535",180,0,0,25,45,115,4,5,0,0,0,5,10,5,10,15,15,15,20,20,20,5,110
"173","35240291","DA","35240291",0.2353,544,179,178,"3524001","3524","5350612.05","35535",265,20,0,25,45,200,3.8,0,0,0,0,0,0,0,0,5,0,5,5,10,5,10,130
"174","35240292","DA","35240292",0.2694,951,305,301,"3524001","3524","5350612.05","35535",385,45,10,70,135,245,5.2,0,5,5,0,5,15,0,5,0,5,15,15,25,10,10,175
"175","35240293","DA","35240293",1.2844,716,282,278,"3524001","3524","5350612.05","35535",290,20,0,10,75,265,3,5,0,0,0,5,0,5,10,0,5,15,10,20,10,15,175
"176","35240297","DA","35240297",0.0868,403,147,146,"3524001","3524","5350612.05","35535",185,25,10,70,55,70,4.5,0,0,0,0,5,5,10,0,10,0,15,10,5,5,10,65
"177","35240298","DA","35240298",0.3467,661,216,213,"3524001","3524","5350612.05","35535",305,20,0,35,45,245,2.4,0,0,0,0,0,0,0,0,0,0,5,5,10,10,5,160
"178","35240299","DA","35240299",0.2253,600,194,194,"3524001","3524","5350612.05","35535",315,55,0,50,55,200,3.2,5,0,0,0,0,0,0,0,0,0,5,0,10,10,15,140
"179","35240301","DA","35240301",0.9905,1084,361,357,"3524001","3524","5350612.14","35535",465,75,25,105,105,325,6.2,10,0,0,0,10,0,0,10,10,10,15,25,15,15,15,220
"180","35240302","DA","35240302",0.1603,629,187,185,"3524001","3524","5350612.14","35535",360,20,0,0,85,260,5.6,0,0,0,0,0,0,0,0,0,0,5,10,0,10,15,120
"181","35240303","DA","35240303",0.0917,407,126,125,"3524001","3524","5350612.14","35535",235,20,0,65,55,115,4.5,0,0,0,0,0,0,0,0,0,0,5,5,10,5,10,75
"182","35240304","DA","35240304",0.1297,488,153,153,"3524001","3524","5350612.13","35535",180,10,0,0,40,170,4.8,0,0,0,0,0,0,0,0,5,0,0,5,10,5,10,105
"183","35240305","DA","35240305",0.0737,324,99,99,"3524001","3524","5350612.14","35535",155,30,0,10,50,115,6.4,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,65
"184","35240307","DA","35240307",0.1042,1008,423,415,"3524001","3524","5350612.05","35535",280,80,80,105,140,190,14.8,0,0,25,20,40,25,25,30,20,20,45,25,25,25,15,65
"185","35240510","DA","35240510",0.1603,547,188,186,"3524001","3524","5350610.06","35535",250,25,0,25,40,225,4.4,0,0,0,0,0,0,0,0,5,5,10,5,10,10,10,115
